Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4/2/2024 12:08:49,CLS,no,0,mu,nee,female,yes,3.25,300,no,10000000,10,360,1:00,TV shows,friends
4/2/2024 12:08:55,Genes in Behavior and Health,no,0,mu,nee,female,yes,06/10/1994,300,no,35,4,47,1:00,Sports,Friends
4/2/2024 12:08:55,AI,yes,1,mu,ja,female,not willing to say,05.04.1996,200,no,76,0,35,0:00,If the to do list is empty ,If I have a new book
4/2/2024 12:09:00,Business Analytics,yes,unknown,mu,nee,female,not willing to say,28/10/1997,134,no,30,3,5,2:00 AM,Food,Shopping
4/2/2024 12:09:02,Master Econometrics and Data Science,yes,0,mu,ja,female,no,04/06/2002,200,no,20,8,3,23:30,Good food,Good company
4/2/2024 12:09:02,Computer Science MSC,no,0,unknown,ja,female,yes,21-05-2001,200,no,40,2,67,23:00,Good sleep,Good breakfast
4/2/2024 12:09:04,Business Analytics,yes,1,mu,ja,female,yes,20-07-2001,300,no,30,6,8,23.30,Sunshine,Nice people around me
4/2/2024 12:09:04,Artificial intelligence ,yes,1,mu,ja,female,yes,12.12.2000,200,no,30,2,12,3:00,good warm weather ,spending time with friends 
4/2/2024 12:09:07,Master ai,yes,0,mu,nee,female,yes,4 april 2000,250,no,30,8,4,00:15,Food,Day off
4/2/2024 12:09:08,Artificial intelligence ,yes,1,mu,nee,male,yes,04.08.1999,258,no,12,6,8,01:00,"Gym, food and sex",Party
4/2/2024 12:09:08,MSc Artificial Intelligence,yes,0,mu,nee,female,yes,13-05-2000,150,no,20,4,38,23:00,Seeing my friends,Working out
4/2/2024 12:09:09,Big Data Engineering,yes,1,mu,ja,male,yes,9 january,200,no,404,2-4,1234567890,04:20,When my family is happy,When it is sunny and snowing
4/2/2024 12:09:09,Bioinformatics,yes,0,mu,nee,female,yes,06/24/1999,300,no,60,2,22,12,Good food,Nice weather
4/2/2024 12:09:09,AI,yes,0,sigma,ja,female,yes,10-10-2000,270,no,70,5,68,1:15,Coffee,Eggs
4/2/2024 12:09:09,Artificial Intelligence ,yes,0,unknown,nee,male,yes,24.03.1997,200,no,10,6,42,6:00,Good weather,Seeing my friends 
4/2/2024 12:09:12,Masters in AI ,yes,0,mu,nee,male,yes,08/09/1992,150,no,0,14,67,12:00,Working out,Eating pizza 
4/2/2024 12:09:14,Artificial Intelligence,yes,0,mu,ja,male,no,20-06-1998,150,no,99,10,222,03:00,Good sleep,Good food
4/2/2024 12:09:14,CS,yes,0,sigma,nee,other,yes,14-11-2100,200,no,0,2,78675643,02:00,happy,more happy
4/2/2024 12:09:14,Computer science,no,0,mu,ja,male,yes,04-11-2001,200,no,50,0,98934847,23:30,Rest,Games
